Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_2251,50.0,4.83,19.72,74.55,
vae_wgan_sample_2252,50.0,5.0,19.8,74.8,
vae_wgan_sample_2253,50.0,20.76,19.96,90.72,
vae_wgan_sample_2254,50.0,5.71,19.96,75.67,
vae_wgan_sample_2255,50.0,20.57,19.96,90.53,
vae_wgan_sample_2256,50.0,20.25,19.96,90.21,
vae_wgan_sample_2257,50.0,4.37,18.96,73.33,
vae_wgan_sample_2258,50.0,5.84,19.76,75.6,
vae_wgan_sample_2259,50.0,4.71,19.96,74.67,
vae_wgan_sample_225,50.0,20.08,19.96,90.04,
vae_wgan_sample_2260,50.0,21.11,19.92,91.03,
vae_wgan_sample_2261,50.0,3.64,19.92,73.56,
vae_wgan_sample_2262,50.0,6.96,20,76.96,
vae_wgan_sample_2263,50.0,3.28,19.96,73.24,
vae_wgan_sample_2264,50.0,5.79,19.24,75.03,
vae_wgan_sample_2265,50.0,20.78,19.92,90.7,
vae_wgan_sample_2266,50.0,20.31,19.96,90.27,
vae_wgan_sample_2267,50.0,19.62,19.92,89.54,
vae_wgan_sample_2268,50.0,4.03,19.96,73.99,
vae_wgan_sample_2269,50.0,4.53,19.52,74.05,
vae_wgan_sample_226,50.0,4.4,19.84,74.24,
vae_wgan_sample_2270,50.0,6.19,19.32,75.51,
vae_wgan_sample_2271,50.0,5.49,19.92,75.41,
vae_wgan_sample_2272,50.0,4.82,19.88,74.7,
vae_wgan_sample_2273,50.0,5.12,18.04,73.16,
vae_wgan_sample_2274,50.0,20.47,19.92,90.39,
vae_wgan_sample_2275,50.0,20.17,19.96,90.13,
vae_wgan_sample_2276,50.0,4.48,19.24,73.72,
vae_wgan_sample_2277,50.0,6.8,19.64,76.44,
vae_wgan_sample_2278,50.0,18.11,19.04,87.15,
vae_wgan_sample_2279,50.0,2.35,19.92,72.27,
vae_wgan_sample_227,50.0,6.09,19.96,76.05,
vae_wgan_sample_2280,50.0,20.36,19.96,90.32,
vae_wgan_sample_2281,50.0,4.91,19.96,74.87,
vae_wgan_sample_2282,50.0,19.16,19.8,88.96,
vae_wgan_sample_2283,50.0,5.49,19.96,75.45,
vae_wgan_sample_2284,50.0,5.48,19.48,74.96,
vae_wgan_sample_2285,50.0,20.16,19.92,90.08,
vae_wgan_sample_2286,50.0,20.15,19.96,90.11,
vae_wgan_sample_2287,50.0,19.92,19.96,89.88,
vae_wgan_sample_2288,50.0,5.77,19.96,75.73,
vae_wgan_sample_2289,50.0,19.99,19.96,89.95,
